"tconst","primaryTitle","startYear","endYear","rank","averageRating","numVotes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt0903747","Breaking Bad",2008,"2013",1,9.5,2589540,"Bryan Cranston, George Mastras, John Dahl, Phil Abraham, Rian Johnson, Terry McDonough, Bronwen Hughes, Tricia Brock, Johan Renck, Peter Medak, Colin Bucksey, John Shiban, Peter Gould, Sam Catlin, David Slade, Michelle MacLaren, Thomas Schnauz, Scott Winant, Jim McKay, Michael Slovis, Adam Bernstein, Félix Enríquez Alcalá, Vince Gilligan, Tim Hunter, Charles Haid","John Shiban, Vince Gilligan, Patty Lin, Peter Gould, Sam Catlin, J. Roberts, George Mastras, Moira Walley-Beckett, Gennifer Hutchison, Thomas Schnauz","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">tt0903747</a>","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">Breaking Bad</a>"
"tt0185906","Band of Brothers",2001,"2001",2,9.4,590553,"Tom Hanks, David Leland, Phil Alden Robinson, Richard Loncraine, David Nutter, Tony To, Mikael Salomon, David Frankel","Bruce C. McKenna, John Orloff, Erik Jendresen, Stephen Ambrose, E. Max Frye, Graham Yost, Erik Bork, Tom Hanks","Action, Drama, History","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">tt0185906</a>","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">Band of Brothers</a>"
"tt7366338","Chernobyl",2019,"2019",3,9.3,1025303,"Johan Renck","Craig Mazin","Drama, History, Thriller","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">tt7366338</a>","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">Chernobyl</a>"
"tt0417299","Avatar: The Last Airbender",2005,"2008",4,9.3,436161,"Dave Filoni, Michael Dante DiMartino, Bryan Konietzko, Lauren MacMullan, Anthony Lioi, Joaquim Dos Santos, Ethan Spaulding, Giancarlo Volpe","May Chan, Nick Malis, Tim Hedrick, Andrew Huebner, John O'Bryan, Scott Sonneborn, Pete Goldfinger, Giancarlo Volpe, Elizabeth Welch Ehasz, Ian Wilcox, Josh Stolberg, Michael Dante DiMartino, Aaron Ehasz, Gary Scheppke, Matt Hubbard, Lauren MacMullan, Joshua Hamilton, Lisa Wahlander, James Eagan, Katie Mattila, Bryan Konietzko, Sib Ventress, Justin Ridge, Joann Estoesta","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">tt0417299</a>","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">Avatar: The Last Airbender</a>"
"tt0306414","The Wire",2002,"2008",5,9.3,428465,"Clement Virgo, Joe Chappelle, Milcho Manchevski, Elodie Keene, Jim McKay, Scott Kecken, Clark Johnson, Robert F. Colesberry, Peter Medak, David Platt, Seith Mann, Anthony Hemingway, Christine Moore, Ernest Dickerson, Dominic West, Leslie Libman, Ed Bianchi, Joy Kecken, Alex Zakrzewski, Gloria Muzio, Timothy Van Patten, Rob Bailey, Daniel Attias, Agnieszka Holland, Brad Anderson, Thomas J. Wright, Steve Shill","Eric Ellis Overmyer, Richard Price, David H. Melnick, Rafael Álvarez, George Pelecanos, David Simon, Joy Kecken, Kia Corthron, Ed Burns, William F. Zorzi, David Mills, Shamit Choksey, Chris Collins, Dennis Lehane","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">tt0306414</a>","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">The Wire</a>"
"tt0795176","Planet Earth",2006,"2006",6,9.4,234746,"Mark Linfield, Alastair Fothergill","Gary Parker, Alastair Fothergill, Vanessa Berlowitz, David Attenborough","Documentary, Family","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">tt0795176</a>","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">Planet Earth</a>"
"tt5491994","Planet Earth II",2016,"2016",7,9.4,174562,"Elizabeth White, Emma Napper, Fredi Devas, Justin Anderson, Ed Charles, Chadden Hunter","Elizabeth White","Documentary, Family","<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">tt5491994</a>","<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">Planet Earth II</a>"
"tt0944947","Game of Thrones",2011,"2019",8,9.2,2597292,"Brian Kirk, Miguel Sapochnik, Jack Bender, D.B. Weiss, Mark Mylod, Daniel Sackheim, Matt Shakman, Alik Sakharov, Daniel Minahan, Michael Slovis, Alex Graves, Tom McCarthy, Alan Taylor, Timothy Van Patten, David Benioff, Jeremy Podeswa, Neil Marshall, Michelle MacLaren, David Nutter, David Petrarca","Dave Hill, Gursimran Sandhu, Bryan Cogman, D.B. Weiss, Jane Espenson, George R.R. Martin, Ethan J. Antonucci, Vanessa Taylor, David Benioff","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">tt0944947</a>","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">Game of Thrones</a>"
"tt0141842","The Sopranos",1999,"2007",9,9.2,573462,"Matthew Penn, David Nutter, Steve Buscemi, Jack Bender, Lorraine Senna, Terence Winter, Steve Shill, Allen Coulter, John Patterson, Henry Bronchtein, Mike Figgis, David Chase, Daniel Attias, Rodrigo García, Martin Bruestle, Phil Abraham, Alan Taylor, Andy Wolk, James Hayman, Nick Gomez, Timothy Van Patten, Lee Tamahori, Peter Bogdanovich, Danny Leiner","David Chase, Michael Caleo, Maria Laurino, Mitchell Burgess, Michael Imperioli, Salvatore Stabile, Joe Bosso, Mark Saraceni, Timothy Van Patten, Jason Cahill, Frank Renzulli, Nick Santora, James Manos Jr., David Flebotte, Robin Green, Todd A. Kessler, Toni Kalem, Lawrence Konner, Diane Frolov, Andrew Schneider, Terence Winter, Matthew Weiner","Crime, Drama","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">tt0141842</a>","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">The Sopranos</a>"
"tt2560140","Attack on Titan",2013,"2023",10,9.1,703005,"Shin Wakabayashi, Tetsurô Araki, Shintarô Itoga, Hidekazu Hara, Yuzuru Tachikawa, Kenji Imura, Yasuhiro Akamatsu, Takayuki Hirao, Masayuki Miyaji, Yasushi Muroya, Tomoko Hiramuki, Hirokazu Yamada, Tetsuya Wakano, Tomomi Ikeda, Yûichirô Hayashi, Miki Komuro, Mitsue Yamazaki, Kôki Aoshima, Ken Andô, Kaori Makita, Hiroyuki Tanaka, Yoshihide Ibata, Aiko Sakuraba, Hitomi Ezoe, Satonobu Kikuchi, Matsuo Asami, Kazuo Miyake, Keisuke Onishi, Daisuke Tokudo, Shinpei Ezaki, Naoki Matsuura, Masashi Koizuka, Makoto Bessho, Ryôsuke Azuma, Ryûta Kawahara, Kiyoshi Fukumoto, Yoshiyuki Fujiwara, Takashi Andô, Tokio Igarashi, Shingo Uchida, Teruyuki Ômine, Yuumi Kawai, Tatsuma Minamikawa, Jun Shishido, Akitoshi Yokoyama","Noboru Takagi, J. Michael Tatum, Yasuko Kobayashi, Bonny Clinkenbeard, Hiroshi Seko, Jarrod Greene, Jeramey Kraatz, Aaron Dismuke, Hajime Isayama, John Burgmeier, Tyson Rinehart","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">tt2560140</a>","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">Attack on Titan</a>"
